,nombre_actividad,lugar,categoria,puntuacion,imagen,precio
144,Atrévete con la Nightmare Barcelona interactive experience,Nightmare Horror Museum Barcelona,Room Escape,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/3447/1535434/vertic_372_270.jpg,"24,99€"
145,BCN caliente & canalla,Puerta de l´Escola Elisava                                                         (Barcelona),Tours y rutas culturales,9.1,https://www.atrapalo.com/common/photo/event/4/8/4/7037/1120369/vertic_372_270.jpg,15€
146,Bali Baby Spa para mamás y bebés,Bali Spirit,Actividades para embarazadas y bebés,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/1631/1584732/vertic_372_270.jpg,79€
147,Barcelona: Cata de vinos y cena de 5 platos con maridaje de tapas,Barcelona                                                         (Barcelona),Catas y maridajes de vinos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/5/2694/1163955/vertic_372_270.jpg,"50,40€"
148,Barcelona: Música en vivo y puesta de sol en catamarán,Moll de les Drassanes (Quiosco City Sailing Barcelona),Excursiones y paseos en barco,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/7180/1586893/vertic_372_270.jpg,12€
149,"Barcelona: Tour 360º en helicóptero, a pie y en barco",We Barcelona,Vuelos en helicóptero y avioneta,Sin puntuación,Sin imagen,"134,99€"
150,Barcelona: fantasmas y brujería,Cultruta,Rutas nocturnas y misteriosas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/4/7049/1120493/vertic_372_270.jpg,15€
151,Bautizo SUP - Paddle Surf,,"Paddle Surf, Surf y Windsurf",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/9424/1429091/vertic_372_270.jpg,48€
152,Bautizo de vela Ligera,Bluesaltschool,"Pesca, náutica y navegación",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/4739/1485904/vertic_372_270.jpg,"34,50€"
153,Beauty Party - SPA Privado para grupos con opción masaje,Centre Municipal de Vela de Barcelona,Spas con masaje,Sin puntuación,Sin imagen,"32,99€"
154,"Beauty party con tus amigas, compartid una fiesta inolvidable",Serena Spa en Hotel Grums 4*,Manicuras y pedicuras,8.7,https://www.atrapalo.com/common/photo/event/4/8/0/9448/461968/vertic_372_270.jpg,35€
155,Belleza perfecta: cejas y tratamiento facial para resaltar tu encanto,Ananda Spa,Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/2011/1581744/vertic_372_270.jpg,"14,40€"
156,Bienestar a la carta: variedad de masajes en Relaxa't Sants,Claudia reis Estilistas - Muntaner,Masajes relajantes,8.9,https://www.atrapalo.com/common/photo/event/2/9/1/06/247938/vertic_372_270.jpg,22€
157,Bienestar duradero: masaje terapéutico para molestias físicas,Relaxa't,Masajes terapéuticos y fisioterapia,8.5,https://www.atrapalo.com/common/photo/event/4/7/8/5420/1048074/vertic_372_270.jpg,25€
158,Bienestar pleno: Experimenta el masaje californiano en Ludicament,Ferran Rodríguez - Terapias Naturales,Masajes relajantes,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/1/8047/523225/vertic_372_270.jpg,35€
159,"Blanqueamiento LED, higiene y kit blanqueador",Espai psico-corporal (Ludicament),Cuidado dental y bucal,10,https://www.atrapalo.com/common/photo/event/4/8/0/5165/435051/vertic_372_270.jpg,200€
160,"Born, secretos y leyendas",Clínicas Den,Rutas nocturnas y misteriosas,9.2,https://www.atrapalo.com/common/photo/event/4/8/4/7051/1180023/vertic_372_270.jpg,15€
161,Botox capilar con colágeno,Cultruta,Peluquería y maquillaje,8.7,Sin imagen,69€
162,Brunch exclusivo Vora el Mar: deléitate en la terraza de H10 Port Vell,Claudia reis Estilistas - Muntaner,Degustaciones y experiencias gastronómicas,9.5,https://www.atrapalo.com/common/photo/event/4/8/5/4202/1173877/vertic_372_270.jpg,"26,25€"
164,Buceo y gastronomía en Tossa con transporte ida y vuelta incluido,iDive Barcelona Diving School,Buceo,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/9334/1428355/vertic_372_270.jpg,165€
165,Bus Nàutic con juego de Barceloneta + Recompensa Exclusiva,Bus Nàutic,Actividades familiares,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/4582/1601344/vertic_372_270.jpg,6€
166,Cabello sedoso y sin encrespamiento con el tratamiento de keratina,Salón Hair & Beauty J´Hair,Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/2397/1526782/vertic_372_270.jpg,120€
167,Cambia tu look con mechas plateadas y brushing perfecto,SportsCuts Barcelona,Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/4/3142/1099997/vertic_372_270.jpg,"49,90€"
168,Casa Batlló y La Pedrera de Gaudí con degustación de chocolate,Barcelona                                                         (Barcelona),Tours y rutas gastronómicas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/6/1216/1217310/vertic_372_270.jpg,"178,50€"
169,Casa Vicens (la primera casa de Gaudí). Entrada directa,Barcelona                                                         (Barcelona),Entrada a lugares de interés turístico,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/5/2632/1163387/vertic_372_270.jpg,"16,90€"
170,Cata de 4 vinos personalizada con queso en Hotel Praktik Vinoteca,Hotel Praktik Vinoteca,Catas y maridajes de vinos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/3760/1597555/vertic_372_270.jpg,35€
171,Cata de vinos y quesos artesanos: una experiencia inolvidable,Espai Penedès,Catas y maridajes de vinos,9.5,Sin imagen,24€
172,Cata maridaje de vinos y croquetas,Espai Penedès,Catas y maridajes de vinos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/3788/1596868/vertic_372_270.jpg,24€
173,Cata profesional de chocolates gourmet pensado para tus sentidos,Taller de Chocolate BCN,Catas de chocolate,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/6798/1339469/vertic_372_270.jpg,"39,50€"
174,Cata-maridaje muy amena de quesos y vinos franceses,Tienda Maison Puyvalin,Catas y maridajes de vinos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/3240/1533268/vertic_372_270.jpg,32€
175,Catalunya Bus Turístic - Dalí  Figueres & Girona Tour,Barcelona Estació del Nord (Andén 17/18)                                                         (Barcelona),Excursiones de un día,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/0150/1443454/vertic_372_270.jpg,65€
176,Catalunya Bus Turístic. Easy Montserrat,Barcelona Estació del Nord (Andén 17/18)                                                         (Barcelona),Excursiones de un día,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/0149/1443444/vertic_372_270.jpg,44€
177,Catalunya Bus Turístic. The Montserrat Tour - All included,Barcelona Estació del Nord (Andén 17/18)                                                         (Barcelona),Excursiones de un día,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/1119/1443365/vertic_372_270.jpg,62€
178,Catedral de Barcelona: Tour guiado+Experiencia Virtual,Plaça de la Seu (Barcelona)                                                         (Barcelona),Tours y visitas guiadas,10,https://www.atrapalo.com/common/photo/event/4/9/1/3245/1593713/vertic_372_270.jpg,28€
179,"Cejas perfectas: diseño, depilación y tinte con henna exclusivo",Claudia reis Estilistas - Muntaner,Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/2012/1581743/vertic_372_270.jpg,25€
180,Cementerio de Montjuïc,Frente el museo de carrozas Fúnebres,Tours y rutas,9.3,Sin imagen,16€
181,Cena con ópera: una experiencia gastronómica y musical inolvidable,,Degustaciones y experiencias gastronómicas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/3610/1462660/vertic_372_270.jpg,"71,55€"
182,Cerámica y Vino,Mas Ravetllat Pla,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/0625/1578336/vertic_372_270.jpg,36€
183,Chocolaterapia antiestrés: relájate y disfruta del mejor chocolate,Atelier Molí,Catas de chocolate,10,https://www.atrapalo.com/common/photo/event/4/8/7/6793/1339466/vertic_372_270.jpg,"39,50€"
184,Chocolaterapia: un capricho dulce para tu piel y bienestar,Taller de Chocolate BCN,Chocolaterapia,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/2/9744/1018515/vertic_372_270.jpg,47€
185,Clase de SUP Yoga Barcelona,Tu Espacio y Bienestar,Yoga y pilates,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/8189/1564613/vertic_372_270.jpg,30€
186,Clase de surfskate para 1 o 2 personas o grupos en Playa La Mar Bella,Anywhere Watersport,Clases de patinaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/0521/1513688/vertic_372_270.jpg,22€
187,Cocktail Tour por la zona del Born,SURFSKATEADDICT,Tours y rutas gastronómicas,10,Sin imagen,45€
188,Comida submarina: menús sencillos y divertidos para la familia,"punto encuentro Plaça de la Llana, 11 (frente a la farmacia)",Degustaciones y experiencias gastronómicas,Sin puntuación,Sin imagen,25€
189,Conducción Drift en un BMW Circuito Drift Deslizante RACC de Barcelona,,Conducir ferrari y deportivos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/7937/1417967/vertic_372_270.jpg,79€
190,Conoce 3 países en un día. Andorra y Francia desde Barcelona,Verne Barcelona,Excursiones de un día,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/7220/1412190/vertic_372_270.jpg,122€
191,Consigue tus mejores fotos de perfil para redes,Circuito Drift Deslizante RACC de Barcelona-Catalunya,Sesiones de fotos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/3859/1594557/vertic_372_270.jpg,75€
192,Copa America al Jardinet del Mar,Estacion de Francia,Degustaciones y experiencias gastronómicas,Sin puntuación,Sin imagen,50€
193,"Corte de mujer: hidratación, peinado y estilo en tendencia",A concretar (Barcelona)                                                         (Barcelona),Peluquería y maquillaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/3120/1585913/vertic_372_270.jpg,29€
194,Crea arte: taller de 2 días de torno alfarero,Jardinet del Mar,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/8653/1423335/vertic_372_270.jpg,140€
195,Creatividad artística para niños,Claudia reis Estilistas - Muntaner,Campamentos y talleres infantiles,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/5753/1587057/vertic_372_270.jpg,18€
196,Creepy Rooms: ¡Vive una experiencia terrorífica en PIcadero Motel!,Cántaro,Room Escape,9.4,https://www.atrapalo.com/common/photo/event/4/8/8/7602/1415352/vertic_372_270.jpg,14€
197,Cronologic Kids!,El Trencaclosques,Room Escape,Sin puntuación,Sin imagen,"19,16€"
198,Crucero de 2 horas en Barcelona,PIcadero Motel,Excursiones y paseos en barco,8.7,https://www.atrapalo.com/common/photo/event/4/8/5/2843/1165531/vertic_372_270.jpg,"44,80€"
199,Crucero de jazz al atardecer en Barcelona,Cronologic,Excursiones y paseos en barco,8.6,https://www.atrapalo.com/common/photo/event/4/8/5/2966/1166581/vertic_372_270.jpg,"23,30€"
200,Crucero turístico de 60 minutos por el skyline de Barcelona,Barcelona                                                         (Barcelona),Excursiones y paseos en barco,9.1,https://www.atrapalo.com/common/photo/event/4/8/5/8858/1204479/vertic_372_270.jpg,"4,10€"
201,Curso de Inteligencia relacional: basado en el Eneagrama,Barcelona                                                         (Barcelona),Crecimiento personal,Sin puntuación,Sin imagen,120€
202,Curso de camarero teórico y práctico,Barcelona                                                         (Barcelona),Cursos de cocina,Sin puntuación,Sin imagen,140€
203,Curso de fotografía en Barcelona: sácale el máximo partido a tu cámara,Casa Lazar,Cursos de fotografía,9.1,https://www.atrapalo.com/common/photo/event/4/8/2/2954/1527068/vertic_372_270.jpg,25€
206,Curso de iniciación al mundo del vino a domicilio,A domicilio (Barcelona)                                                         (Barcelona),Catas y maridajes de vinos,Sin puntuación,Sin imagen,35€
207,"Curso de pasta fresca, ¡Mamma mia! Los secretos de la pasta casera",Muérdete,Cursos de cocina,Sin puntuación,https://www.atrapalo.com/common/photo/event/2/9/0/828/1541602/vertic_372_270.jpg,"29,90€"
208,Curso monográfico de cine,Nou Prodigi,Cursos de Música e interpretación,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/4450/1600590/vertic_372_270.jpg,80€
209,Curso presencial de Patrón de embarcaciones de recreo,Yacht Point,"Pesca, náutica y navegación",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/0504/1512936/vertic_372_270.jpg,80€
210,Código Barcino: La Ciudad Revelada,Puerta de la catedral de Barcelona,Rutas nocturnas y misteriosas,9.5,https://www.atrapalo.com/common/photo/event/4/8/3/0115/1021097/vertic_372_270.jpg,16€
211,Decoteca - Decora tu objeto de madera favorito,"Bricoteca Les Corts (Gran Via Carles III, 63 BIS, Barcelona)",Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/0091/1575119/vertic_372_270.jpg,29€
212,Deliciosa hamburguesa y gin tonic en el Blounge del Raval,B-Lounge,"Vermuts, aperitivos y destilados",9.1,Sin imagen,23€
213,Deléitate con la auténtica cocina italiana en Luigi Laietana,"Restaurante Luigi Laietana, 41",Degustaciones y experiencias gastronómicas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/8109/1499191/vertic_372_270.jpg,25€
214,"Depilación láser: solución eficiente, duradera y sin dolor",Dream Body Sants,Depilación,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/4667/1471134/vertic_372_270.jpg,29€
215,Desayuno Buffet en un hotel Modernista de 4*,Terraza Alaire Ramblas,Degustaciones y experiencias gastronómicas,10,https://www.atrapalo.com/common/photo/event/4/9/0/3066/1531343/vertic_372_270.jpg,16€
216,Descubre el Park Güell con acceso preferente,Tienda Un Parc Per Gaudir,Tours y visitas guiadas,8.7,Sin imagen,36€
217,Descubre el Paseo de Gracia a lo room escape con VisitEscape APP,La Pedrera (punto de encuentro)                                                         (Barcelona),Rutas teatralizadas e interactivas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/6512/1557877/vertic_372_270.jpg,9€
218,Descubre el arte de maridar tapas y vermuts en Taller24 Barcelona,Taller24,Cursos de cocina,9.8,https://www.atrapalo.com/common/photo/event/4/8/3/8199/1069748/vertic_372_270.jpg,35€
219,Descubre la Cerámica: Torno o Modelado con Cata de Vinos opcional,Born to Clay,Cursos de Manualidades y DIY,Sin puntuación,Sin imagen,48€
220,Descubre la Sagrada Familia con guía y acceso a las torres,Tienda Emporio Souvenirs Barcelona,Tours y visitas guiadas,9.3,https://www.atrapalo.com/common/photo/event/4/8/1/8236/1024371/vertic_372_270.jpg,122€
221,Descubre la Sagrada Familia. Visita a primera hora ¡espectacular!,Tienda Emporio Souvenirs Barcelona,Tours y visitas guiadas,Sin puntuación,Sin imagen,111€
222,Descubre la magia de la cerámica en clases amenas y divertidas,Consell 81,Cursos de Manualidades y DIY,8.5,https://www.atrapalo.com/common/photo/event/4/8/9/2859/1474632/vertic_372_270.jpg,30€
223,"Despertar by Serena SPA @ Hotel Sir Victor 5*: Desayuno, SPA y Masaje",Sir Victor Hotel,Spas con masaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/0101/1575149/vertic_372_270.jpg,79€
224,Disfruta de la experiencia de navegar en velero en Barcelona,Port Olímpic                                                         (Barcelona),Excursiones y paseos en barco,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/3134/1596307/vertic_372_270.jpg,30€
225,Disfruta del mundo del vino a ciegas a domicilio,A domicilio (Barcelona)                                                         (Barcelona),Catas y maridajes de vinos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/3857/1538021/vertic_372_270.jpg,35€
226,Disfruta del paddle surf o el kayak en el Centro Municipal de Vela,Centre Municipal de Vela de Barcelona,Kayak,8.7,https://www.atrapalo.com/common/photo/event/4/8/0/3352/1105517/vertic_372_270.jpg,13€
227,Domina el arte de los cócteles tropicales en un taller interactivo,Cocktail Shop Barcelona,Cursos de cata y coctelería,9.3,https://www.atrapalo.com/common/photo/event/3/0/5/966/1547112/vertic_372_270.jpg,26€
228,Drenaje linfático,Mimosi Beauty & Health Concept,Adelgazamiento,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/0513/1577525/vertic_372_270.jpg,35€
229,Día de bienestar: circuito acuático y gastronomía en Vichy Català,Balneari Vichy Català en Caldes de Malavella,Spas con gastronomía,Sin puntuación,Sin imagen,27€
230,"Ecstatic Dance: baile libre, comunica y expresa sin palabras",Casa Lazar,Clases de baile,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/5053/1474362/vertic_372_270.jpg,15€
231,"El Born, secretos medievales","Plaça del Àngel, 12",Tours y rutas culturales,Sin puntuación,Sin imagen,15€
232,El Call Judío desconocido,"Carrer Ferran, 35",Tours y rutas culturales,Sin puntuación,Sin imagen,15€
233,El Secreto de Cerdà: Búsqueda del Tesoro en Barcelona,Maximum Escape,Rutas teatralizadas e interactivas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/3611/1536500/vertic_372_270.jpg,12€
234,"El combo perfecto para conectar contigo: Yoga, Cerámica y Vino",Colet Arte                                                         (Barcelona),Yoga y pilates,Sin puntuación,Sin imagen,"44,90€"
235,El misterio de la galería de cadáveres: ¡resuelve el caso!,XCAPE ROOM BCN,Room Escape,Sin puntuación,Sin imagen,14€
236,El tesoro de Barcelona,Plaza de Antoni Maura,Rutas teatralizadas e interactivas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/2901/1530323/vertic_372_270.jpg,21€
237,Electroestimulación avanzada: aumenta músculo y reduce grasa,Benestar Balmes,Adelgazamiento,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/6331/1510386/vertic_372_270.jpg,63€
238,"Elige tu Escape Room, tu desafío mental de Realidad Virtual",Resetxr,Room Escape,10,https://www.atrapalo.com/common/photo/event/4/9/0/2390/1526711/vertic_372_270.jpg,24€
239,Elimina arrugas y rejuvenece tu piel con luz LED,Centro Médico Meynde,Lifting facial,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/3/9459/1078229/vertic_372_270.jpg,69€
240,"Ensaya con el Gospel singing choir, quítate la espina de cantar",Gospel Barcelona                                                         (Barcelona),Cursos de Música e interpretación,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/3707/1596308/vertic_372_270.jpg,5€
241,Entrada a la Catedral de Barcelona con acceso a la azotea,Barcelona                                                         (Barcelona),Entrada a lugares de interés turístico,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/7858/1417504/vertic_372_270.jpg,"9,70€"
242,Entrada al Castillo de Montjuïc,Barcelona                                                         (Barcelona),Entrada a lugares de interés turístico,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/7297/1412771/vertic_372_270.jpg,"22,30€"
243,Entrada al Sant Pau Recinte Modernista en Barcelona,Barcelona                                                         (Barcelona),Entrada a lugares de interés turístico,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/5/2832/1165412/vertic_372_270.jpg,"16,50€"
244,Entrada al telefèric de Montjuïc,Barcelona                                                         (Barcelona),Entrada a lugares de interés turístico,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/5/4652/1176653/vertic_372_270.jpg,"11,60€"
245,Entrada sin colas a la Sagrada Familia con audioguía,Barcelona                                                         (Barcelona),Visitas con audioguía,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/7128/1411516/vertic_372_270.jpg,"48,40€"
246,Escapa al paraíso: spa en pareja en Serena Spa,Serena Spa en el Hotel Melià Barcelona Sky,Spas para parejas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/9540/1379444/vertic_372_270.jpg,"44,50€"
247,Escape Room: Misión Europa,Room Infinite,Room Escape,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/3883/1390913/vertic_372_270.jpg,16€
248,Escape de la rutina: Bienestar y exclusividad en Spa Mare Nostrum,Spa Sallés Pere IV 4*,Spas con gastronomía,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/1/0052/465858/vertic_372_270.jpg,45€
249,Especial Musa Mujer,Bali Spirit,Masajes relajantes,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/1630/1584518/vertic_372_270.jpg,129€
250,Evite las colas: Visita al Parque Güell y La Sagrada Familia en Barcelona,Barcelona                                                         (Barcelona),Tours y visitas guiadas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/5/7391/1194318/vertic_372_270.jpg,"50,30€"
251,Excursión para grupos pequeños a Besalú y pueblos medievales desde Barcelona con recogida en el hotel,Barcelona                                                         (Barcelona),Excursiones de un día,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/6/3631/1241556/vertic_372_270.jpg,"53,50€"
252,Excursión privada en velero por el Mediterráneo,Port olímpic,Excursiones y paseos en barco,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/2/7619/1008028/vertic_372_270.jpg,69€
253,Exfoliación y masaje para una piel purificada y relajada,Relaxa't,Peelings corporales,8.9,https://www.atrapalo.com/common/photo/event/7/9/6/95/318374/vertic_372_270.jpg,35€
254,"Experiencia Gastro: Spa con cava, opción a masaje + Cena para dos",Serena Spa en Hotel Grums 4*,Spas para parejas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/3592/1595695/vertic_372_270.jpg,"44,95€"
255,Experiencia Luxury en Sir Victor 5*: Circuito Spa con masaje opcional,Sir Victor Hotel,Spas con masaje,8.7,https://www.atrapalo.com/common/photo/event/4/9/1/0062/1574926/vertic_372_270.jpg,"22,90€"
256,Experiencia Sensorial Sensas: pon a prueba todos tus sentidos,Sensas Barcelona,Room Escape,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/6273/1591075/vertic_372_270.jpg,22€
257,Experiencia Total: zona de aguas y masaje en Signature Organic Spa,Signature Spa (Hotel Yurbban Passage 4*),Spas con masaje,9.4,https://www.atrapalo.com/common/photo/event/4/8/1/1134/486388/vertic_372_270.jpg,70€
258,Experiencia compartida de navegación en barco a vela desde Port Olimpic,Barcelona                                                         (Barcelona),Excursiones y paseos en barco,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/5/2825/1165310/vertic_372_270.jpg,"35,70€"
259,"Experiencia de navegación, E-bike, viñedos y cata de vinos",SailingExperienceBcn,Tours y rutas gastronómicas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/1331/1445119/vertic_372_270.jpg,139€
260,Experiencia gastronómica clandestina: cena en un lugar secreto,A concretar (en la ciudad de Barcelona)                                                         (Barcelona),Degustaciones y experiencias gastronómicas,9.9,https://www.atrapalo.com/common/photo/event/4/8/2/6965/1453582/vertic_372_270.jpg,230€
261,Experiencia gastronómica única en el Ñaño Internacional,El Ñaño Internacional,Degustaciones y experiencias gastronómicas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/2403/1588915/vertic_372_270.jpg,50€
262,Experiencia mágica: masaje relajante con aceites esenciales Bio,Relaxa't,Masajes relajantes,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/5003/1397499/vertic_372_270.jpg,40€
263,Experiencia thai: masaje tradicional y aromático en pareja,Nancy Center Spa Thailandés,Masajes tailandeses y orientales,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/1/5296/497600/vertic_372_270.jpg,57€
264,Experiencia vikinga: tiro con hacha e hidromiel en The Axe Club,The Axe Club,Paintball y Laser tag,10,Sin imagen,21€
265,Experiencia única: masaje sincronizado en pareja,Nancy Center Spa Thailandés,Masajes en pareja,10,https://www.atrapalo.com/common/photo/event/4/8/4/3228/1100582/vertic_372_270.jpg,48€
266,Exóticos cócteles tiki y tapa en el Kahiki de Barcelona,Kahiki,"Vermuts, aperitivos y destilados",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/4234/1468107/vertic_372_270.jpg,"17,50€"
267,Facial Soho Skin Glow y relax en Cowshed Spa con copa de Lady A.,Cowshed Spa  (Soho House Barcelona),Tratamiento y limpieza facial,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/3/9896/1079178/vertic_372_270.jpg,70€
268,"Fantasmas de Barcelona, ruta por sus misterios paranormales",Arc de Triomf de Barcelona (debajo del arco)                                                         (Barcelona),Rutas nocturnas y misteriosas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/1/7846/1054008/vertic_372_270.jpg,12€
269,Fiesta gourmet: cata de vinos e ibéricos en Espai Penedès,Espai Penedès,Catas y maridajes de vinos,8.8,https://www.atrapalo.com/common/photo/event/4/8/1/7160/1050251/vertic_372_270.jpg,24€
270,Fish & Gin: Música en vivo y sabores únicos en Raval,Barceló Raval,"Vermuts, aperitivos y destilados",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/3/7383/1064320/vertic_372_270.jpg,23€
271,"Fotografía básica con réflex, presencial y online",L´Estació Espai Gastronòmic (Estació de França). Puerta Cafetería de la estació                                                         (Barcelona),Cursos de fotografía,8.9,https://www.atrapalo.com/common/photo/event/4/8/2/0212/980617/vertic_372_270.jpg,15€
272,Fotos profesionales en The Loft Studio: captura momentos únicos,The Loft Studio,Sesiones de fotos,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/9/5910/1481994/vertic_372_270.jpg,"89,95€"
273,Free History & Legends Comedy Tour: El Born,El Born Centre de Cultura i Memòria,Free tours,10,https://www.atrapalo.com/common/photo/event/4/8/9/3899/1464898/vertic_372_270.jpg,Pago libre
274,Free History & Legends Comedy Tour: Sagrada Familia con humor,Plaza de Gaudí                                                         (Barcelona),Tours y rutas culturales,9.7,Sin imagen,Pago libre
275,Free Tour auténtico y completo por Barcelona,"Avenida Gaudí, 2 (justo enfrente del Restaurante KFC)                                                         (Barcelona)",Free tours,10,https://www.atrapalo.com/common/photo/event/4/9/0/5879/1551320/vertic_372_270.jpg,Pago libre
276,Fundación Reserva Wild Forest - Visita,Fundación Reserva Wild Forest,Actividades con animales,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/2269/1588166/vertic_372_270.jpg,15€
277,Gastro-Ruta: cucharadas de historia,Frente al mercado de la Boquería,Tours y rutas gastronómicas,9.4,https://www.atrapalo.com/common/photo/event/4/8/6/0670/1212985/vertic_372_270.jpg,28€
278,"Gerona, Figueras y el Museo Dalí: excursión de un día desde Barcelona",,Excursiones de un día,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/6/9997/1288688/vertic_372_270.jpg,"32,90€"
279,Gimnasia facial: combate flacidez y fatiga en Soho House,Barcelona                                                         (Barcelona),Fitness y Crossfit,Sin puntuación,Sin imagen,55€
280,"Gràcia, burguesa y revolucionaria",Cowshed Spa  (Soho House Barcelona),Tours y rutas culturales,9.1,https://www.atrapalo.com/common/photo/event/4/8/4/7039/1166780/vertic_372_270.jpg,15€
281,Haloterapia en cueva de sal,Parròquia dels Josepets                                                         (Barcelona),Terapias alternativas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/5440/1600576/vertic_372_270.jpg,15€
282,Haloterapia en una cueva de sal y masaje opcional: mejora tu salud,Salsana,Terapias alternativas,9.6,https://www.atrapalo.com/common/photo/event/4/9/0/2561/1528854/vertic_372_270.jpg,15€
283,Happy Hour: 2x1 en Daiquiris de Fresa en Alaire Ramblas,Salsana,"Vermuts, aperitivos y destilados",Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/6122/1584188/vertic_372_270.jpg,"12,50€"
284,Hidratación facial con ácido hialurónico y antioxidantes marinos,Terraza Alaire Ramblas,Lifting facial,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/8/6322/1581543/vertic_372_270.jpg,44€
